LOCATION,TIME,CCI
JPN,1982-04,100.5488
JPN,1982-05,100.3602
JPN,1982-06,100.1853
JPN,1982-07,100.0524
JPN,1982-08,99.99239
JPN,1982-09,99.98392
JPN,1982-10,100.0135
JPN,1982-11,100.0838
JPN,1982-12,100.1844
JPN,1983-01,100.3152
JPN,1983-02,100.479
JPN,1983-03,100.6448
JPN,1983-04,100.7717
JPN,1983-05,100.8295
JPN,1983-06,100.8605
JPN,1983-07,100.9206
JPN,1983-08,101.0486
JPN,1983-09,101.2066
JPN,1983-10,101.3387
JPN,1983-11,101.4008
JPN,1983-12,101.4156
JPN,1984-01,101.4108
JPN,1984-02,101.4044
JPN,1984-03,101.4091
JPN,1984-04,101.439
JPN,1984-05,101.5047
JPN,1984-06,101.5837
JPN,1984-07,101.6481
JPN,1984-08,101.6792
JPN,1984-09,101.6974
JPN,1984-10,101.7305
JPN,1984-11,101.7957
JPN,1984-12,101.8664
JPN,1985-01,101.9009
JPN,1985-02,101.8654
JPN,1985-03,101.7929
JPN,1985-04,101.7252
JPN,1985-05,101.6916
JPN,1985-06,101.6834
JPN,1985-07,101.6865
JPN,1985-08,101.6908
JPN,1985-09,101.6861
JPN,1985-10,101.6583
JPN,1985-11,101.5941
JPN,1985-12,101.5085
JPN,1986-01,101.4158
JPN,1986-02,101.3211
JPN,1986-03,101.2193
JPN,1986-04,101.0964
JPN,1986-05,100.9373
JPN,1986-06,100.7551
JPN,1986-07,100.5629
JPN,1986-08,100.3685
JPN,1986-09,100.1791
JPN,1986-10,100.0084
JPN,1986-11,99.87876
JPN,1986-12,99.80447
JPN,1987-01,99.82745
JPN,1987-02,99.99809
JPN,1987-03,100.2584
JPN,1987-04,100.5526
JPN,1987-05,100.8477
JPN,1987-06,101.1207
JPN,1987-07,101.3442
JPN,1987-08,101.495
JPN,1987-09,101.6113
JPN,1987-10,101.7355
JPN,1987-11,101.892
JPN,1987-12,102.0565
JPN,1988-01,102.1869
JPN,1988-02,102.246
JPN,1988-03,102.2589
JPN,1988-04,102.2537
JPN,1988-05,102.2484
JPN,1988-06,102.2567
JPN,1988-07,102.2924
JPN,1988-08,102.362
JPN,1988-09,102.4284
JPN,1988-10,102.4351
JPN,1988-11,102.3337
JPN,1988-12,102.1706
JPN,1989-01,102.0014
JPN,1989-02,101.8663
JPN,1989-03,101.772
JPN,1989-04,101.7329
JPN,1989-05,101.772
JPN,1989-06,101.8663
JPN,1989-07,102.0014
JPN,1989-08,102.1705
JPN,1989-09,102.3335
JPN,1989-10,102.4351
JPN,1989-11,102.4293
JPN,1989-12,102.3649
JPN,1990-01,102.2979
JPN,1990-02,102.262
JPN,1990-03,102.2421
JPN,1990-04,102.2102
JPN,1990-05,102.1452
JPN,1990-06,102.0646
JPN,1990-07,101.996
JPN,1990-08,101.9643
JPN,1990-09,101.9659
JPN,1990-10,102.0012
JPN,1990-11,102.0723
JPN,1990-12,102.1482
JPN,1991-01,102.1872
JPN,1991-02,102.1545
JPN,1991-03,102.0772
JPN,1991-04,101.9833
JPN,1991-05,101.8851
JPN,1991-06,101.7797
JPN,1991-07,101.6531
JPN,1991-08,101.4924
JPN,1991-09,101.318
JPN,1991-10,101.1578
JPN,1991-11,101.0333
JPN,1991-12,100.9332
JPN,1992-01,100.8434
JPN,1992-02,100.7543
JPN,1992-03,100.656
JPN,1992-04,100.5345
JPN,1992-05,100.3756
JPN,1992-06,100.1932
JPN,1992-07,100.0006
JPN,1992-08,99.80566
JPN,1992-09,99.61574
JPN,1992-10,99.44542
JPN,1992-11,99.31897
JPN,1992-12,99.25331
JPN,1993-01,99.2907
JPN,1993-02,99.47074
JPN,1993-03,99.69929
JPN,1993-04,99.84946
JPN,1993-05,99.81427
JPN,1993-06,99.63747
JPN,1993-07,99.3614
JPN,1993-08,99.01631
JPN,1993-09,98.70917
JPN,1993-10,98.5938
JPN,1993-11,98.80339
