"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"1",2004-11-27,546507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-12-04,651898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2004-12-11,379673,NA,NA,NA,NA,163812,NA,NA,NA,NA,NA,NA,NA
"4",2004-12-18,441085,NA,NA,NA,NA,83598,NA,NA,NA,NA,NA,NA,NA
"5",2004-12-25,575947,NA,NA,NA,NA,98771,NA,NA,NA,NA,NA,NA,NA
"6",2005-01-01,262277,NA,NA,NA,NA,122707,NA,NA,NA,NA,NA,NA,NA
"7",2005-01-08,170751,NA,NA,NA,NA,58981,NA,NA,NA,NA,NA,NA,NA
"8",2005-01-15,96385,NA,NA,NA,NA,61279,NA,NA,NA,NA,NA,NA,NA
"9",2005-01-22,81003,NA,NA,NA,NA,66884,NA,NA,NA,NA,NA,NA,NA
"10",2005-01-29,78819,NA,NA,NA,NA,73145,NA,NA,NA,NA,NA,NA,NA
"11",2005-02-05,70305,NA,NA,NA,NA,50569,NA,NA,NA,NA,NA,NA,NA
"12",2005-02-12,65608,NA,NA,NA,NA,49540,NA,NA,NA,NA,NA,NA,NA
"13",2005-02-19,60066,NA,NA,NA,NA,40384,NA,NA,NA,NA,NA,NA,NA
"14",2005-02-26,94610,NA,NA,NA,NA,45589,NA,NA,NA,NA,NA,NA,NA
"15",2005-03-05,73119,NA,NA,NA,NA,51565,NA,NA,NA,NA,NA,NA,NA
"16",2005-03-12,370742,NA,NA,NA,NA,48704,NA,NA,NA,NA,NA,NA,NA
"17",2005-03-19,183505,NA,NA,NA,NA,44724,NA,NA,NA,NA,NA,NA,NA
"18",2005-03-26,164406,NA,NA,NA,NA,516995,NA,NA,NA,NA,NA,NA,NA
"19",2005-04-02,128134,NA,NA,NA,NA,234438,NA,NA,NA,NA,NA,NA,NA
"20",2005-04-09,101832,NA,NA,NA,NA,160465,NA,NA,NA,NA,NA,NA,NA
"21",2005-04-16,85078,NA,NA,NA,NA,141813,NA,NA,NA,NA,NA,NA,NA
"22",2005-04-23,141830,NA,NA,NA,NA,131521,NA,NA,NA,NA,NA,NA,NA
"23",2005-04-30,120069,NA,NA,NA,NA,133091,NA,NA,NA,NA,NA,NA,NA
"24",2005-05-07,115641,NA,NA,NA,NA,145769,NA,NA,NA,NA,NA,NA,NA
"25",2005-05-14,81694,NA,NA,NA,NA,99614,NA,NA,NA,NA,NA,NA,NA
"26",2005-05-21,80266,NA,NA,NA,NA,92261,NA,NA,NA,NA,NA,NA,NA
"27",2005-05-28,106368,NA,NA,NA,NA,97702,NA,NA,NA,NA,NA,NA,NA
"28",2005-06-04,97747,NA,NA,NA,NA,98832,NA,NA,NA,NA,NA,NA,NA
"29",2005-06-11,93958,NA,NA,NA,NA,101252,NA,NA,NA,NA,NA,NA,NA
"30",2005-06-18,96805,NA,NA,NA,NA,99461,NA,NA,NA,NA,NA,NA,NA
"31",2005-06-25,106839,NA,NA,NA,NA,99394,NA,NA,NA,NA,NA,NA,NA
"32",2005-07-02,100911,NA,NA,NA,NA,94898,NA,NA,NA,NA,NA,NA,NA
"33",2005-07-09,99729,NA,NA,NA,NA,88085,NA,NA,NA,NA,NA,NA,NA
"34",2005-07-16,92564,NA,NA,NA,NA,83172,NA,NA,NA,NA,NA,NA,NA
"35",2005-07-23,94393,NA,NA,NA,NA,77459,NA,NA,NA,NA,NA,NA,NA
"36",2005-07-30,94440,NA,NA,NA,NA,78245,NA,NA,NA,NA,NA,NA,NA
"37",2005-08-06,97689,NA,NA,NA,NA,74488,NA,NA,NA,NA,NA,NA,NA
"38",2005-08-13,152621,NA,NA,NA,NA,76899,NA,NA,NA,NA,NA,NA,NA
"39",2005-08-20,129542,NA,NA,NA,NA,72171,NA,NA,NA,NA,NA,NA,NA
"40",2005-08-27,112951,NA,NA,NA,NA,66634,NA,NA,NA,NA,NA,NA,NA
"41",2005-09-03,110162,NA,NA,NA,NA,685965,NA,NA,NA,NA,NA,NA,NA
"42",2005-09-10,108499,NA,NA,NA,NA,235414,NA,NA,NA,NA,NA,NA,NA
"43",2005-09-17,131157,NA,NA,NA,NA,211327,NA,NA,NA,NA,NA,NA,NA
"44",2005-09-24,131209,NA,NA,NA,NA,161128,NA,NA,NA,NA,NA,NA,NA
"45",2005-10-01,103624,NA,NA,NA,NA,142594,NA,NA,NA,NA,NA,NA,NA
"46",2005-10-08,136755,NA,NA,NA,NA,154308,NA,NA,NA,NA,NA,NA,NA
"47",2005-10-15,160060,NA,NA,NA,NA,138824,NA,NA,NA,NA,NA,NA,NA
"48",2005-10-22,160072,NA,NA,NA,NA,117996,NA,NA,NA,NA,NA,NA,NA
"49",2005-10-29,188851,NA,NA,NA,NA,136799,NA,NA,NA,NA,NA,NA,NA
"50",2005-11-05,221679,NA,NA,NA,NA,154531,NA,NA,NA,NA,NA,NA,NA
"51",2005-11-12,255538,NA,NA,NA,NA,160188,NA,NA,NA,NA,NA,NA,NA
"52",2005-11-19,311556,NA,NA,NA,NA,296012,NA,NA,NA,NA,NA,NA,NA
"53",2005-11-26,572867,NA,NA,NA,NA,418430,NA,NA,NA,NA,350847,NA,NA
"54",2005-12-03,628820,NA,NA,NA,NA,522102,NA,NA,NA,NA,94406,NA,NA
"55",2005-12-10,891443,NA,NA,NA,NA,608491,NA,NA,NA,NA,337335,NA,NA
"56",2005-12-17,1043751,NA,NA,NA,NA,718088,NA,NA,NA,NA,165880,NA,NA
"57",2005-12-24,1292919,NA,NA,NA,NA,872252,NA,NA,NA,NA,134426,NA,NA
"58",2005-12-31,673413,NA,NA,NA,NA,422874,NA,NA,NA,NA,96010,NA,NA
"59",2006-01-07,259869,NA,NA,NA,NA,283716,NA,NA,NA,NA,117498,NA,NA
"60",2006-01-14,169331,NA,NA,NA,NA,188128,NA,NA,NA,NA,146722,NA,NA
"61",2006-01-21,170784,NA,NA,NA,NA,170010,NA,NA,NA,NA,144610,NA,NA
"62",2006-01-28,223845,NA,NA,NA,NA,160608,NA,NA,NA,NA,110104,NA,NA
"63",2006-02-04,131706,NA,NA,NA,NA,154084,NA,NA,NA,NA,96089,NA,NA
