Year,Total_mil
1980,11.379999999999999
1981,35.77000000000001
1982,28.859999999999996
1983,16.790000000000003
1984,50.360000000000014
1985,53.940000000000005
1986,37.07
1987,21.739999999999995
1988,47.22
1989,73.45
1990,49.38999999999999
1991,32.230000000000004
1992,76.15999999999998
1993,45.98
1994,79.17000000000003
1995,88.10999999999991
1996,199.14999999999995
1997,200.98000000000013
1998,256.46999999999963
1999,251.27000000000018
2000,201.5600000000002
2001,331.4699999999991
2002,395.5199999999983
2003,357.8499999999989
2004,419.30999999999864
2005,459.9399999999976
2006,521.0399999999917
2007,611.1299999999934
2008,678.8999999999952
2009,667.2999999999947
2010,600.4499999999948
2011,515.9899999999969
2012,363.5399999999984
2013,368.10999999999865
2014,337.0499999999985
2015,264.43999999999795
2016,70.93000000000013
2017,0.05
2020,0.29
N/A,100.07999999999994
