"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"1",2004-11-27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-12-04,458825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2004-12-11,191582,NA,NA,NA,NA,163812,NA,NA,NA,NA,NA,NA,NA
"4",2004-12-18,222728,NA,NA,NA,NA,83598,NA,NA,NA,NA,NA,NA,NA
"5",2004-12-25,338120,NA,NA,NA,NA,98771,NA,NA,NA,NA,NA,NA,NA
"6",2005-01-01,182527,NA,NA,NA,NA,122707,NA,NA,NA,NA,NA,NA,NA
"7",2005-01-08,121302,NA,NA,NA,NA,58981,NA,NA,NA,NA,NA,NA,NA
"8",2005-01-15,56708,NA,NA,NA,NA,61279,NA,NA,NA,NA,NA,NA,NA
"9",2005-01-22,46317,NA,NA,NA,NA,66884,NA,NA,NA,NA,NA,NA,NA
"10",2005-01-29,43082,NA,NA,NA,NA,73145,NA,NA,NA,NA,NA,NA,NA
"11",2005-02-05,32762,NA,NA,NA,NA,50569,NA,NA,NA,NA,NA,NA,NA
"12",2005-02-12,28726,NA,NA,NA,NA,49540,NA,NA,NA,NA,NA,NA,NA
"13",2005-02-19,24152,NA,NA,NA,NA,40384,NA,NA,NA,NA,NA,NA,NA
"14",2005-02-26,28697,NA,NA,NA,NA,45589,NA,NA,NA,NA,NA,NA,NA
"15",2005-03-05,27236,NA,NA,NA,NA,51565,NA,NA,NA,NA,NA,NA,NA
"16",2005-03-12,26113,NA,NA,NA,NA,48704,NA,NA,NA,NA,NA,NA,NA
"17",2005-03-19,22790,NA,NA,NA,NA,44724,NA,NA,NA,NA,NA,NA,NA
"18",2005-03-26,58631,NA,NA,NA,NA,47521,NA,NA,NA,NA,NA,NA,NA
"19",2005-04-02,43762,NA,NA,NA,NA,38946,NA,NA,NA,NA,NA,NA,NA
"20",2005-04-09,28617,NA,NA,NA,NA,32896,NA,NA,NA,NA,NA,NA,NA
"21",2005-04-16,22366,NA,NA,NA,NA,29770,NA,NA,NA,NA,NA,NA,NA
"22",2005-04-23,85155,NA,NA,NA,NA,32230,NA,NA,NA,NA,NA,NA,NA
"23",2005-04-30,65896,NA,NA,NA,NA,37917,NA,NA,NA,NA,NA,NA,NA
"24",2005-05-07,63051,NA,NA,NA,NA,37339,NA,NA,NA,NA,NA,NA,NA
"25",2005-05-14,26150,NA,NA,NA,NA,25395,NA,NA,NA,NA,NA,NA,NA
"26",2005-05-21,29326,NA,NA,NA,NA,24871,NA,NA,NA,NA,NA,NA,NA
"27",2005-05-28,42100,NA,NA,NA,NA,21715,NA,NA,NA,NA,NA,NA,NA
"28",2005-06-04,35259,NA,NA,NA,NA,22835,NA,NA,NA,NA,NA,NA,NA
"29",2005-06-11,32599,NA,NA,NA,NA,21917,NA,NA,NA,NA,NA,NA,NA
"30",2005-06-18,32045,NA,NA,NA,NA,20799,NA,NA,NA,NA,NA,NA,NA
"31",2005-06-25,34914,NA,NA,NA,NA,21480,NA,NA,NA,NA,NA,NA,NA
"32",2005-07-02,36905,NA,NA,NA,NA,22586,NA,NA,NA,NA,NA,NA,NA
"33",2005-07-09,42378,NA,NA,NA,NA,20455,NA,NA,NA,NA,NA,NA,NA
"34",2005-07-16,38051,NA,NA,NA,NA,21389,NA,NA,NA,NA,NA,NA,NA
"35",2005-07-23,43845,NA,NA,NA,NA,19668,NA,NA,NA,NA,NA,NA,NA
"36",2005-07-30,44750,NA,NA,NA,NA,20920,NA,NA,NA,NA,NA,NA,NA
"37",2005-08-06,48479,NA,NA,NA,NA,20890,NA,NA,NA,NA,NA,NA,NA
"38",2005-08-13,103015,NA,NA,NA,NA,25067,NA,NA,NA,NA,NA,NA,NA
"39",2005-08-20,78208,NA,NA,NA,NA,23842,NA,NA,NA,NA,NA,NA,NA
"40",2005-08-27,61663,NA,NA,NA,NA,21757,NA,NA,NA,NA,NA,NA,NA
"41",2005-09-03,57261,NA,NA,NA,NA,23248,NA,NA,NA,NA,NA,NA,NA
"42",2005-09-10,55380,NA,NA,NA,NA,23149,NA,NA,NA,NA,NA,NA,NA
