"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"1",2004-11-27,486391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-12-04,171835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2004-12-11,167401,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4",2004-12-18,194338,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5",2004-12-25,211666,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"6",2005-01-01,70978,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"7",2005-01-08,44009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"8",2005-01-15,35313,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"9",2005-01-22,30871,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"10",2005-01-29,31806,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"11",2005-02-05,33413,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"12",2005-02-12,32825,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"13",2005-02-19,31963,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"14",2005-02-26,31277,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"15",2005-03-05,30341,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"16",2005-03-12,31656,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"17",2005-03-19,30549,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"18",2005-03-26,29552,NA,NA,NA,NA,408443,NA,NA,NA,NA,NA,NA,NA
"19",2005-04-02,25549,NA,NA,NA,NA,170078,NA,NA,NA,NA,NA,NA,NA
"20",2005-04-09,20957,NA,NA,NA,NA,110985,NA,NA,NA,NA,NA,NA,NA
"21",2005-04-16,13930,NA,NA,NA,NA,97477,NA,NA,NA,NA,NA,NA,NA
"22",2005-04-23,12225,NA,NA,NA,NA,86383,NA,NA,NA,NA,NA,NA,NA
"23",2005-04-30,15282,NA,NA,NA,NA,82801,NA,NA,NA,NA,NA,NA,NA
"24",2005-05-07,14965,NA,NA,NA,NA,71192,NA,NA,NA,NA,NA,NA,NA
"25",2005-05-14,14275,NA,NA,NA,NA,55384,NA,NA,NA,NA,NA,NA,NA
"26",2005-05-21,14306,NA,NA,NA,NA,51682,NA,NA,NA,NA,NA,NA,NA
"27",2005-05-28,15048,NA,NA,NA,NA,60068,NA,NA,NA,NA,NA,NA,NA
"28",2005-06-04,17986,NA,NA,NA,NA,60485,NA,NA,NA,NA,NA,NA,NA
"29",2005-06-11,21773,NA,NA,NA,NA,62676,NA,NA,NA,NA,NA,NA,NA
"30",2005-06-18,23688,NA,NA,NA,NA,61911,NA,NA,NA,NA,NA,NA,NA
"31",2005-06-25,32715,NA,NA,NA,NA,61172,NA,NA,NA,NA,NA,NA,NA
"32",2005-07-02,27424,NA,NA,NA,NA,56593,NA,NA,NA,NA,NA,NA,NA
"33",2005-07-09,22994,NA,NA,NA,NA,52088,NA,NA,NA,NA,NA,NA,NA
"34",2005-07-16,19864,NA,NA,NA,NA,47123,NA,NA,NA,NA,NA,NA,NA
"35",2005-07-23,18852,NA,NA,NA,NA,44031,NA,NA,NA,NA,NA,NA,NA
"36",2005-07-30,20210,NA,NA,NA,NA,44088,NA,NA,NA,NA,NA,NA,NA
"37",2005-08-06,20719,NA,NA,NA,NA,41345,NA,NA,NA,NA,NA,NA,NA
"38",2005-08-13,23695,NA,NA,NA,NA,40282,NA,NA,NA,NA,NA,NA,NA
"39",2005-08-20,26595,NA,NA,NA,NA,37684,NA,NA,NA,NA,NA,NA,NA
"40",2005-08-27,27884,NA,NA,NA,NA,35095,NA,NA,NA,NA,NA,NA,NA
"41",2005-09-03,30412,NA,NA,NA,NA,32088,NA,NA,NA,NA,NA,NA,NA
"42",2005-09-10,31046,NA,NA,NA,NA,28923,NA,NA,NA,NA,NA,NA,NA
"43",2005-09-17,39811,NA,NA,NA,NA,28496,NA,NA,NA,NA,NA,NA,NA
"44",2005-09-24,41472,NA,NA,NA,NA,28087,NA,NA,NA,NA,NA,NA,NA
"45",2005-10-01,35905,NA,NA,NA,NA,29822,NA,NA,NA,NA,NA,NA,NA
"46",2005-10-08,33529,NA,NA,NA,NA,28054,NA,NA,NA,NA,NA,NA,NA
"47",2005-10-15,34569,NA,NA,NA,NA,26883,NA,NA,NA,NA,NA,NA,NA
"48",2005-10-22,37113,NA,NA,NA,NA,30129,NA,NA,NA,NA,NA,NA,NA
"49",2005-10-29,40168,NA,NA,NA,NA,37605,NA,NA,NA,NA,NA,NA,NA
"50",2005-11-05,47181,NA,NA,NA,NA,46407,NA,NA,NA,NA,NA,NA,NA
"51",2005-11-12,53636,NA,NA,NA,NA,56280,NA,NA,NA,NA,NA,NA,NA
"52",2005-11-19,72378,NA,NA,NA,NA,76193,NA,NA,NA,NA,NA,NA,NA
"53",2005-11-26,178740,NA,NA,NA,NA,177456,NA,NA,NA,NA,305237,NA,NA
"54",2005-12-03,162516,NA,NA,NA,NA,165340,NA,NA,NA,NA,82133,NA,NA
"55",2005-12-10,221568,NA,NA,NA,NA,223800,NA,NA,NA,NA,43016,NA,NA
"56",2005-12-17,277829,NA,NA,NA,NA,279441,NA,NA,NA,NA,46917,NA,NA
"57",2005-12-24,328629,NA,NA,NA,NA,300835,NA,NA,NA,NA,48737,NA,NA
"58",2005-12-31,92990,NA,NA,NA,NA,92462,NA,NA,NA,NA,37242,NA,NA
"59",2006-01-07,46631,NA,NA,NA,NA,47916,NA,NA,NA,NA,47705,NA,NA
"60",2006-01-14,36955,NA,NA,NA,NA,46988,NA,NA,NA,NA,63637,NA,NA
"61",2006-01-21,34560,NA,NA,NA,NA,46413,NA,NA,NA,NA,65708,NA,NA
